"HMDBID","KEGGID","Name","Diff"
"HMDB0038352","-","LucidenicacidN",1
NA,"-","AlaLeuVal",1
NA,"-","TyrGlu",1
NA,"-","6-{[2-(2,4-dihydroxyphenyl)-7-hydroxy-3-(8-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)-6-(3-methylbut-2-en-1-yl)-4-oxo-4H-chromen-5-yloxy}-3,4,5-trihydroxyoxane-2-carboxylicacid",1
NA,"-","HisVal",1
NA,"-","ValPro",1
NA,"-","GlyLeu",1
"HMDB0060127","-","25-HydroxyvitaminD3-26,23-lactol",1
"HMDB0030915","-","AlliospirosideD",1
NA,"-","GlyVal",1
"HMDB0011556","-","MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",1
NA,"-","ArgValLeu",1
"HMDB0006236","C00601","Phenylacetaldehyde",1
NA,"-","PheProIle",1
"HMDB0000672","C19615","Hexadecanedioicacid",1
NA,"-","ThrValVal",1
NA,"-","ThrProIle",1
NA,"-","ValGluAla",1
"HMDB0003797","C04056","Bovinicacid",1
NA,"-","GluGlyAsnTrp",1
NA,"-","ValLys",1
"HMDB0000313","C05300","16b-Hydroxyestrone",1
"HMDB0011648","C15497","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide",1
NA,"-","LeuThrSerLysTyr",1
"HMDB0013317","-","Tridecanoylglycine",1
NA,"-","GlyValVal",1
NA,"-","PheAspIle",1
"HMDB0006248","C03740","5-L-Glutamyl-L-alanine",1
NA,"-","GluAsnLeu",1
NA,"-","GlyIleLys",1
NA,"-","HisProVal",1
"HMDB0003464","C01035","4-Guanidinobutanoicacid",1
NA,"-","ArgAspIle",1
NA,"-","GluValAla",1
NA,"-","IleSerThrGlu",1
NA,"-","IleThrIle",1
NA,"-","IleGlyLys",1
NA,"-","GlyMet",1
NA,"-","ThrAspIleThr",1
NA,"-","IleProIle",1
NA,"-","(+/-)-Furilazole",1
NA,"-","(1R*,3R*,3S*)-1,2,3,4-Tetrahydro-1-(2-thio-3-pyrrolidinyl)-beta-carboline-3-carboxylicacid",1
"HMDB0039171","-","9alpha-(3-Methylbutanoyloxy)-4S-hydroxy-10(14)-oplopen-3-one",1
"HMDB0028879","-","Histidinyl-Arginine",1
"HMDB0002285","-","2-Indolecarboxylicacid",1
"HMDB0029059","-","Threoninyl-Glutamine",1
"HMDB0041023","-","Reticulatamol",1
"HMDB0035165","-","CinncassiolA19-glucoside",1
NA,"-","ValIleThrAsn",1
"HMDB0000874","C16868","Tauroursodeoxycholicacid",1
"HMDB0030394","-","Simmondsin",1
"HMDB0000038","C02953","7,8-dihydro-L-Biopterin",1
NA,"-","SerLeuIle",1
NA,"-","ThrGln",1
"HMDB0000559","-","(3-Methoxy-4-hydroxyphenyl)ethyleneglycolsulfate",1
"HMDB0030409","-","4-Amino-2-methylenebutanoicacid",1
"HMDB0251473","-","DIPROTINA",1
NA,"-","GlyArg",1
"HMDB0000517","C00062","L-Arginine",1
NA,"-","GlyLeuArg",1
"HMDB0028923","-","Leucyl-Arginine",1
"HMDB0033503","-","Smallbacteriocin",1
"HMDB0028876","-","Hydroxyprolyl-Valine",1
"HMDB0030772","-","Demethoxyegonol",1
NA,"-","ValValLeu",1
NA,"-","ProMetValPro",1
"HMDB0032685","-","(14alpha,17beta,20S,22R)-14,20-Epoxy-17-hydroxy-1-oxowitha-3,5,24-trienolide",1
NA,"-","GlnArg",1
NA,"-","AsnIleArg",1
NA,"-","3-N-Acetylfusarochromanone",1
NA,"-","11-[(2R,3S)-3-[2-amino-3-methyl-4-(2-methyl-1,3-thiazol-4-yl)but-3-en-1-yl-2-methyloxiran-2-yl-3,7-dihydroxy-4,4,6,8-tetramethyl-5-oxoundecanoicacid",1
NA,"-","GluIleVal",1
NA,"-","LeuGluLeu",1
NA,"-","GluIleLeu",1
"HMDB0041517","-","Beta-D-Glucopyranosylanthranilate",1
"HMDB0029081","-","Tryptophyl-Glutamine",1
NA,"-","IleSerLeuSer",1
"HMDB0012212","-","Dihydrozeatin-9-N-glucoside-O-glucoside",1
NA,"-","IleArg",1
NA,"-","LysoPA(P-16:0e/0:0)",1
NA,"-","(+/-)-Naringenin",1
NA,"-","IleGluLeu",1
NA,"-","AspThrGlnSer",1
"HMDB0037235","-","Quassinol",1
"HMDB0004157","C05789","L-Urobilinogen",1
"HMDB0035243","C17268","Pyruvophenone",1
"HMDB0029062","-","Threoninyl-Hydroxyproline",1
"HMDB0005768","C02993","Kyotorphin",1
"HMDB0029128","-","Valyl-Hydroxyproline",1
"HMDB0039331","C13837","DehydrosoyasaponinI",1
NA,"-","ValThrIleAsp",1
"HMDB0030328","C10359","Petasitenine",1
"HMDB0003252","C05963","ThromboxaneB2",1
NA,"-","IleGluLeuLys",1
