"HMDBID","KEGGID","Name","Diff","Origin","Link"
NA,"-","6-(3-{8-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl-5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl}phenoxy)-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",NA
"HMDB0061641","-","3-hydroxypentadecanoylcarnitine",1,"Food related","HMDB: HMDB0061641"
"HMDB0011503","-","PE(16:0/0:0)",1,"Food related","HMDB: HMDB0011503"
"HMDB0029353","-","Galactosyl4-hydroxyproline",1,"Food related","HMDB: HMDB0029353"
NA,"-","19(R)-hydroxy-PGA2",1,"Unknown",NA
NA,"-","PheTrp",1,"Unknown",NA
"HMDB0000476","-","3-Oxo-4,6-choladienoicacid",1,"Food related","HMDB: HMDB0000476"
NA,"C08690","Icacine",1,"Unknown",""
"HMDB0010384","C04230","1-Stearoylglycerophosphocholine",1,"Co-Metabolism","KEGG: C04230"
"HMDB0030580","-","(R)-Shinanolone",1,"Food related","HMDB: HMDB0030580"
NA,"-","3b,16a-Dihydroxyandrostenonesulfate",1,"Unknown",NA
"HMDB0001119","C19579","4-Hydroxy-4-(3-pyridyl)-butanoicacid",1,"Unknown",""
"HMDB0031864","C10454","Methyleugenol",1,"Food related","HMDB: HMDB0031864"
"HMDB0036470","C09633","Chamazulene",1,"Drug related","DrugBank: DB15931"
"HMDB0036466","-","Zerumboneoxide",1,"Food related","HMDB: HMDB0036466"
"HMDB0000215","C00140","N-Acetyl-D-glucosamine",1,"Co-Metabolism","KEGG: C00140"
NA,"-","4-[5-ladderane-butanoicacid",1,"Unknown",NA
"HMDB0001406","C00153","Niacinamide",1,"Co-Metabolism","KEGG: C00153"
"HMDB0059764","C14330","2,6-Dimethylnaphthalene",1,"Unknown",""
NA,"-","Taurocholicacid3-sulfate",1,"Unknown",NA
"HMDB0059698","-","Cadalene",1,"Food related","HMDB: HMDB0059698"
"HMDB0034099","-","(2E,4E)-2,7-Dimethyl-2,4-octadienedioicacid",1,"Food related","HMDB: HMDB0034099"
"HMDB0000210","C00864","PantothenicAcid",1,"Co-Metabolism","KEGG: C00864"
"HMDB0000792","C08277","Sebacicacid",1,"Drug related","DrugBank: DB07645"
NA,"-","Farnesylacetone",1,"Unknown",NA
"HMDB0000447","C15568","7a,12a-Dihydroxy-3-oxo-4-cholenoicacid",1,"Food related","HMDB: HMDB0000447"
"HMDB0004362","-","4-hydroxyNonenal",1,"Food related","HMDB: HMDB0004362"
NA,"-","BW245C",1,"Unknown",NA
NA,"-","13-METHYL-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE",1,"Unknown",NA
NA,"-","3-Hydroxy-T2Toxin",1,"Unknown",NA
"HMDB0038152","-","LucidoneC",1,"Food related","HMDB: HMDB0038152"
"HMDB0036686","-","2,2,6,7-Tetramethylbicyclo[4.3.0nona-1(9),4-diene-7,8-diol",1,"Food related","HMDB: HMDB0036686"
"HMDB0033857","C08499","2,6-nonadienal",1,"Food related","HMDB: HMDB0033857"
"HMDB0031031","-","2-Dodecylbenzenesulfonicacid",1,"Food related","HMDB: HMDB0031031"
"HMDB0059899","C14395","Alpha-Methylstyrene",1,"Unknown",""
"HMDB0245089","C02395","Cyclohex-2-enone",1,"Unknown",""
"HMDB0029697","C02394","Cinnamylalcohol",1,"Drug related","DrugBank: DB14186"
"HMDB0032014","-","2,5-Dimethylbenzaldehyde",1,"Food related","HMDB: HMDB0032014"
"HMDB0029638","C06758","P-Tolualdehyde",1,"Microbiota","KEGG: C06758"
"HMDB0031616","-","4-Phenyl-3-buten-2-ol",1,"Food related","HMDB: HMDB0031616"
NA,"-","(1R)-Nepetalicacid",1,"Unknown",NA
"HMDB0034293","-","Asperagenin",1,"Food related","HMDB: HMDB0034293"
NA,"-","C12:4n-2,4,8,10",1,"Unknown",NA
NA,"C03571","2-Amino-2-methylbutanoate",1,"Unknown",""
"HMDB0001898","C05790","Mesobilirubinogen",1,"Microbiota","HMDB: HMDB0001898; KEGG: C05790, C05791"
"HMDB0011668","C15658","6-(alpha-D-Glucosaminyl)-1D-myo-inositol",1,"Microbiota","KEGG: C15658"
"HMDB0062660","C01046","N-Methylglutamicacid",1,"Microbiota","KEGG: C01046"
"HMDB0012240","-","Isopentenyladenine-9-N-glucoside",1,"Unknown",NA
NA,"-","3-[3,4-dihydroxy-2-(4-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)phenylpropanoicacid",1,"Unknown",NA
"HMDB0040901","-","13-Hydroxy-9-methoxy-10-oxo-11-octadecenoicacid",1,"Food related","HMDB: HMDB0040901"
NA,"-","ThrPheLeuThrGln",1,"Unknown",NA
NA,"-","ProHis",1,"Unknown",NA
NA,"-","ValGlu",1,"Unknown",NA
"HMDB0001388","C06427","Alpha-Linolenicacid",1,"Co-Metabolism","KEGG: C06427"
NA,"-","GlyPhe",1,"Unknown",NA
NA,"-","HYMECROMONEMETHYLETHER",1,"Unknown",NA
NA,"-","ProArg",1,"Unknown",NA
"HMDB0038352","-","LucidenicacidN",1,"Food related","HMDB: HMDB0038352"
NA,"-","AlaLeuVal",1,"Unknown",NA
NA,"-","6-{[2-(2,4-dihydroxyphenyl)-7-hydroxy-3-(8-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)-6-(3-methylbut-2-en-1-yl)-4-oxo-4H-chromen-5-yloxy}-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",NA
NA,"-","HisVal",1,"Unknown",NA
"HMDB0060127","-","25-HydroxyvitaminD3-26,23-lactol",1,"Food related","HMDB: HMDB0060127"
"HMDB0030915","-","AlliospirosideD",1,"Food related","HMDB: HMDB0030915"
"HMDB0011556","-","MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",1,"Food related","HMDB: HMDB0011556"
NA,"-","ArgValLeu",1,"Unknown",NA
"HMDB0006236","C00601","Phenylacetaldehyde",1,"Co-Metabolism","KEGG: C00601"
NA,"-","PheProIle",1,"Unknown",NA
"HMDB0000672","C19615","Hexadecanedioicacid",1,"Food related","HMDB: HMDB0000672"
NA,"-","ThrValVal",1,"Unknown",NA
NA,"-","ValGluAla",1,"Unknown",NA
NA,"-","GluGlyAsnTrp",1,"Unknown",NA
NA,"-","ValLys",1,"Unknown",NA
"HMDB0000313","C05300","16b-Hydroxyestrone",1,"Co-Metabolism","KEGG: C05300"
NA,"-","LeuThrSerLysTyr",1,"Unknown",NA
"HMDB0013317","-","Tridecanoylglycine",1,"Unknown",NA
NA,"-","GlyValVal",1,"Unknown",NA
NA,"-","PheAspIle",1,"Unknown",NA
NA,"-","GluAsnLeu",1,"Unknown",NA
NA,"-","GlyIleLys",1,"Unknown",NA
NA,"-","HisProVal",1,"Unknown",NA
"HMDB0003464","C01035","4-Guanidinobutanoicacid",1,"Co-Metabolism","KEGG: C01035"
NA,"-","IleSerThrGlu",1,"Unknown",NA
NA,"-","IleThrIle",1,"Unknown",NA
NA,"-","IleGlyLys",1,"Unknown",NA
NA,"-","GlyMet",1,"Unknown",NA
NA,"-","ThrAspIleThr",1,"Unknown",NA
NA,"-","(+/-)-Furilazole",1,"Unknown",NA
"HMDB0039171","-","9alpha-(3-Methylbutanoyloxy)-4S-hydroxy-10(14)-oplopen-3-one",1,"Food related","HMDB: HMDB0039171"
"HMDB0039396","-","TuberosideJ",1,"Food related","HMDB: HMDB0039396"
"HMDB0035165","-","CinncassiolA19-glucoside",1,"Food related","HMDB: HMDB0035165"
NA,"-","ValIleThrAsn",1,"Unknown",NA
"HMDB0030394","-","Simmondsin",1,"Food related","HMDB: HMDB0030394"
NA,"-","SerLeuIle",1,"Unknown",NA
"HMDB0060583","C21515","Trandolaprilat",1,"Drug related","HMDB: HMDB0060583"
"HMDB0030409","-","4-Amino-2-methylenebutanoicacid",1,"Food related","HMDB: HMDB0030409"
"HMDB0251473","-","DIPROTINA",1,"Unknown",NA
NA,"-","GlyArg",1,"Unknown",NA
NA,"-","ThrArg",1,"Unknown",NA
"HMDB0000517","C00062","L-Arginine",1,"Co-Metabolism","KEGG: C00062"
NA,"-","GlyLeuArg",1,"Unknown",NA
"HMDB0028923","-","Leucyl-Arginine",1,"Unknown",NA
"HMDB0033503","-","Smallbacteriocin",1,"Food related","HMDB: HMDB0033503"
"HMDB0028876","-","Hydroxyprolyl-Valine",1,"Unknown",NA
NA,"-","ValValLeu",1,"Unknown",NA
NA,"-","GlnArg",1,"Unknown",NA
NA,"-","AsnIleArg",1,"Unknown",NA
NA,"-","3-N-Acetylfusarochromanone",1,"Unknown",NA
NA,"-","LeuGluLeu",1,"Unknown",NA
NA,"-","GluIleLeu",1,"Unknown",NA
"HMDB0041517","-","Beta-D-Glucopyranosylanthranilate",1,"Food related","HMDB: HMDB0041517"
"HMDB0011470","-","LysoPE(0:0/14:0)",1,"Food related","HMDB: HMDB0011470"
NA,"-","IleArg",1,"Unknown",NA
NA,"-","LysoPA(P-16:0e/0:0)",1,"Unknown",NA
NA,"-","IleGluLeu",1,"Unknown",NA
NA,"-","AspThrGlnSer",1,"Unknown",NA
"HMDB0037235","-","Quassinol",1,"Food related","HMDB: HMDB0037235"
"HMDB0004157","C05789","L-Urobilinogen",1,"Unknown",""
"HMDB0029062","-","Threoninyl-Hydroxyproline",1,"Unknown",NA
"HMDB0029128","-","Valyl-Hydroxyproline",1,"Unknown",NA
"HMDB0039331","C13837","DehydrosoyasaponinI",1,"Food related","HMDB: HMDB0039331"
NA,"-","ValThrIleAsp",1,"Unknown",NA
"HMDB0011482","-","LysoPE(0:0/20:1(11Z))",1,"Food related","HMDB: HMDB0011482"
"HMDB0030328","C10359","Petasitenine",1,"Food related","HMDB: HMDB0030328"
"HMDB0003252","C05963","ThromboxaneB2",1,"Food related","HMDB: HMDB0003252"
NA,"-","AsnSerLeuArg",1,"Unknown",NA
NA,"-","IleGluLeuLys",1,"Unknown",NA
