"HMDBID","KEGGID","Name","Diff","Origin","Link"
NA,"-","3-(1,2-dihydroxybutyl)-7-hydroxy-1H-isochromen-1-one",1,"Unknown",""
"HMDB0035357","-","BlumealactoneC",1,"Food related","HMDB: HMDB0035357"
"HMDB0000328","-","12-Ketodeoxycholicacid",1,"Food related","HMDB: HMDB0000328"
NA,"-","[(16R)-5,7-dihydroxy-8,8,10,16-tetramethyl-3-[1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl-12-methylidene-9-oxo-17-oxa-4-azabicyclo[14.1.0heptadec-4-en-11-yloxidanesulfonicacid",1,"Unknown",""
"HMDB0061127","-","4R-Hydroxysolifenacin",1,"Drug related","HMDB: HMDB0061127"
"HMDB0035200","-","YucalexinB5",1,"Food related","HMDB: HMDB0035200"
NA,"-","Nicotineglucuronide",1,"Unknown",""
"HMDB0010382","C04230","PC(16:0/0:0)",1,"Co-Metabolism","KEGG: C04230"
"HMDB0000715","C01717","Kynurenicacid",1,"Drug related","DrugBank: DB11937"
"HMDB0000788","C01103","Orotidine",1,"Co-Metabolism","KEGG: C01103"
"HMDB0038149","-","Nepetaside",1,"Food related","HMDB: HMDB0038149"
NA,"-","2,4,6-Trihydroxydihydrochalcone2-glucoside",1,"Unknown",""
NA,"-","4-Oxoisotretinoin",1,"Unknown",""
NA,"-","(7R*,8R*)-3-Methoxy-3,4,7,9,9-pentahydroxy-8,4-oxyneolignan4-xyloside",1,"Unknown",""
"HMDB0006285","C16678","4-oxo-Retinoicacid",1,"Drug related","HMDB: HMDB0006285"
"HMDB0000953","-","Suberylglycine",1,"Unknown",""
"HMDB0002639","C11301","Sulfolithocholylglycine",1,"Microbiota","HMDB: HMDB0002639"
"HMDB0011129","-","LysoPE(0:0/18:0)",1,"Food related","HMDB: HMDB0011129"
"HMDB0034983","-","Cynaratriol",1,"Food related","HMDB: HMDB0034983"
"HMDB0030155","-","AustalideI",1,"Food related","HMDB: HMDB0030155"
"HMDB0010383","C04230","LysoPC(16:1(9Z))",1,"Co-Metabolism","KEGG: C04230"
NA,"-","PC(18:1(9Z)/0:0)[U",1,"Unknown",""
NA,"-","Sorbitanstearate",1,"Unknown",""
NA,"-","6-hydroxy-6-(hydroxymethyl)-1,1,4a-trimethyl-5-{[(2-oxo-2H-chromen-7-yl)oxymethyl}-decahydronaphthalen-2-ylacetate",1,"Unknown",""
"HMDB0010386","C04100","1-Linoleoylglycerophosphocholine",1,"Food related","HMDB: HMDB0010386"
"HMDB0032105","-","1,2-Anhydridoniveusin",1,"Food related","HMDB: HMDB0032105"
"HMDB0040004","-","Menthone1,3-glycerylketal",1,"Food related","HMDB: HMDB0040004"
"HMDB0010393","-","LysoPC(20:3(5Z,8Z,11Z))",1,"Food related","HMDB: HMDB0010393"
"HMDB0035045","-","GibberellinA39",1,"Food related","HMDB: HMDB0035045"
"HMDB0033796","-","Physapubescin",1,"Food related","HMDB: HMDB0033796"
"HMDB0031511","-","Diacetonealcohol",1,"Food related","HMDB: HMDB0031511"
"HMDB0039635","C13456","Abscisicalcohol",1,"Unknown",""
"HMDB0060134","-","23S,25,26-TrihydroxyvitaminD3",1,"Food related","HMDB: HMDB0060134"
NA,"-","PE(18:1(9Z)/0:0)",1,"Unknown",""
"HMDB0000222","C02990","Palmitoyl-L-carnitine",1,"Co-Metabolism","KEGG: C02990"
NA,"-","1-(4-methoxyphenyl)-4-methylpent-1-en-3-ol",1,"Unknown",""
NA,"-","6-(3-{8-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl-5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl}phenoxy)-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",""
"HMDB0061641","-","3-hydroxypentadecanoylcarnitine",1,"Food related","HMDB: HMDB0061641"
"HMDB0007850","-","LysoPA(0:0/18:0)",1,"Food related","HMDB: HMDB0007850"
"HMDB0039631","-","PhysagulinF",1,"Food related","HMDB: HMDB0039631"
"HMDB0011503","-","PE(16:0/0:0)",1,"Food related","HMDB: HMDB0011503"
"HMDB0029353","-","Galactosyl4-hydroxyproline",1,"Food related","HMDB: HMDB0029353"
NA,"-","5-hydroxy-3,6,7,8-tetramethoxy-2-phenyl-4H-chromen-4-one",1,"Unknown",""
NA,"-","19(R)-hydroxy-PGA2",1,"Unknown",""
"HMDB0030766","-","11-Hydroxy-12-methoxydihydrokawain",1,"Food related","HMDB: HMDB0030766"
"HMDB0036403","-","GanosporelactoneB",1,"Food related","HMDB: HMDB0036403"
NA,"-","PheTrp",1,"Unknown",""
"HMDB0040899","-","MethylhelianthenoateAglucoside",1,"Food related","HMDB: HMDB0040899"
"HMDB0000350","-","3-Hydroxysebacicacid",1,"Unknown",""
"HMDB0033229","-","Absindiol",1,"Food related","HMDB: HMDB0033229"
"HMDB0041144","-","8-Deoxy-11,13-dihydroxygrosheimin",1,"Food related","HMDB: HMDB0041144"
"HMDB0000476","-","3-Oxo-4,6-choladienoicacid",1,"Food related","HMDB: HMDB0000476"
NA,"C08690","Icacine",1,"Unknown",""
"HMDB0010384","C04230","1-Stearoylglycerophosphocholine",1,"Co-Metabolism","KEGG: C04230"
"HMDB0030464","-","Erythroskyrin",1,"Food related","HMDB: HMDB0030464"
"HMDB0035607","-","SaponinH",1,"Food related","HMDB: HMDB0035607"
"HMDB0030580","-","(R)-Shinanolone",1,"Food related","HMDB: HMDB0030580"
NA,"C19976","Valinopine",1,"Unknown",""
NA,"-","3b,16a-Dihydroxyandrostenonesulfate",1,"Unknown",""
"HMDB0001119","C19579","4-Hydroxy-4-(3-pyridyl)-butanoicacid",1,"Unknown",""
"HMDB0037592","-","OryzalideB",1,"Food related","HMDB: HMDB0037592"
"HMDB0029782","-","6-Epi-7-isocucurbicacidglucoside",1,"Food related","HMDB: HMDB0029782"
"HMDB0031864","C10454","Methyleugenol",1,"Food related","HMDB: HMDB0031864"
"HMDB0036747","-","Ent-7-Oxo-8(14),15-pimaradien-19-oicacid",1,"Food related","HMDB: HMDB0036747"
"HMDB0036470","C09633","Chamazulene",1,"Drug related","DrugBank: DB15931"
"HMDB0036466","-","Zerumboneoxide",1,"Food related","HMDB: HMDB0036466"
"HMDB0000215","C00140","N-Acetyl-D-glucosamine",1,"Co-Metabolism","KEGG: C00140"
NA,"-","4-[5-ladderane-butanoicacid",1,"Unknown",""
"HMDB0001406","C00153","Niacinamide",1,"Co-Metabolism","KEGG: C00153"
"HMDB0059764","C14330","2,6-Dimethylnaphthalene",1,"Unknown",""
NA,"-","Taurocholicacid3-sulfate",1,"Unknown",""
"HMDB0040755","-","3b-Hydroxy-6b-methoxy-7(11)-eremophilen-12,8a-olide",1,"Food related","HMDB: HMDB0040755"
NA,"-","11-dehydro-TXB3",1,"Unknown",""
"HMDB0059698","-","Cadalene",1,"Food related","HMDB: HMDB0059698"
"HMDB0034099","-","(2E,4E)-2,7-Dimethyl-2,4-octadienedioicacid",1,"Food related","HMDB: HMDB0034099"
"HMDB0000210","C00864","PantothenicAcid",1,"Co-Metabolism","KEGG: C00864"
"HMDB0000792","C08277","Sebacicacid",1,"Drug related","DrugBank: DB07645"
NA,"-","Farnesylacetone",1,"Unknown",""
NA,"-","12-oxo-5E,8E,10Z-dodecatrienoicacid",1,"Unknown",""
"HMDB0000447","C15568","7a,12a-Dihydroxy-3-oxo-4-cholenoicacid",1,"Food related","HMDB: HMDB0000447"
"HMDB0004362","-","4-hydroxyNonenal",1,"Food related","HMDB: HMDB0004362"
NA,"-","BW245C",1,"Unknown",""
NA,"-","13-METHYL-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE",1,"Unknown",""
"HMDB0004186","C05834","3-Methyldioxyindole",1,"Unknown",""
NA,"-","3-Hydroxy-T2Toxin",1,"Unknown",""
"HMDB0038152","-","LucidoneC",1,"Food related","HMDB: HMDB0038152"
"HMDB0036686","-","2,2,6,7-Tetramethylbicyclo[4.3.0nona-1(9),4-diene-7,8-diol",1,"Food related","HMDB: HMDB0036686"
"HMDB0033857","C08499","2,6-nonadienal",1,"Food related","HMDB: HMDB0033857"
"HMDB0028808","-","Glutaminyltryptophan",1,"Unknown",""
"HMDB0031031","-","2-Dodecylbenzenesulfonicacid",1,"Food related","HMDB: HMDB0031031"
"HMDB0059899","C14395","Alpha-Methylstyrene",1,"Unknown",""
"HMDB0245089","C02395","Cyclohex-2-enone",1,"Unknown",""
"HMDB0034295","C19621","Floionolicacid",1,"Food related","HMDB: HMDB0034295"
"HMDB0029697","C02394","Cinnamylalcohol",1,"Drug related","DrugBank: DB14186"
"HMDB0032014","-","2,5-Dimethylbenzaldehyde",1,"Food related","HMDB: HMDB0032014"
"HMDB0036752","-","YucalexinP17",1,"Food related","HMDB: HMDB0036752"
NA,"-","BrefeldinA",1,"Unknown",""
"HMDB0029638","C06758","P-Tolualdehyde",1,"Microbiota","KEGG: C06758"
"HMDB0031616","-","4-Phenyl-3-buten-2-ol",1,"Food related","HMDB: HMDB0031616"
NA,"-","(1R)-Nepetalicacid",1,"Unknown",""
"HMDB0034293","-","Asperagenin",1,"Food related","HMDB: HMDB0034293"
NA,"-","C12:4n-2,4,8,10",1,"Unknown",""
"HMDB0040276","-","5-Acetoxydihydrotheaespirane",1,"Food related","HMDB: HMDB0040276"
"HMDB0038980","-","(4R,6S)-p-Menth-1-ene-4,6-diol4-glucoside",1,"Food related","HMDB: HMDB0038980"
"HMDB0007161","C00165","DG(18:0/18:2(9Z,12Z)/0:0)",1,"Unknown",""
"HMDB0000205","C00166","Phenylpyruvicacid",1,"Co-Metabolism","HMDB: HMDB0000205; KEGG: C00166"
NA,"-","R-(-)-Mandelicacid",1,"Unknown",""
NA,"-","2-amino-6-hydroxyhexanoicacid",1,"Unknown",""
"HMDB0000640","-","Levoglucosan",1,"Food related","HMDB: HMDB0000640"
"HMDB0059838","C00808","(+)-Camphor",1,"Drug related","KEGG: C00808; DrugBank: DB01744"
NA,"-","FAMPRIDINE",1,"Drug related","KEGG: C13728; DrugBank: DB06637"
NA,"-","2E,6E,8E-decatrienoicacid",1,"Unknown",""
"HMDB0034081","C08814","Brassinolide",1,"Unknown",""
"HMDB0012280","-","Phytosphingosine-1-P",1,"Food related","HMDB: HMDB0012280"
"HMDB0038506","-","7,8-Dehydro-beta-micropteroxanthin",1,"Food related","HMDB: HMDB0038506"
"HMDB0029340","-","CeanothineC",1,"Food related","HMDB: HMDB0029340"
"HMDB0034732","-","THYMOQUINONE",1,"Food related","HMDB: HMDB0034732"
"HMDB0012983","-","Kinetensin1-3",1,"Unknown",""
"HMDB0034079","-","Homodolichosterone",1,"Food related","HMDB: HMDB0034079"
NA,"-","(S)-9-Hydroxy-10-undecenoicacid",1,"Unknown",""
NA,"-","PorrigeninA",1,"Unknown",""
NA,"C03571","2-Amino-2-methylbutanoate",1,"Unknown",""
"HMDB0006024","-","Mevalonolactone",1,"Unknown",""
"HMDB0035843","-","(23S,24S)-17,23-Epoxy-24,29-dihydroxy-27-norlanost-8-ene-3,15-dione",1,"Food related","HMDB: HMDB0035843"
"HMDB0002157","-","27-Norcholestanehexol",1,"Food related","HMDB: HMDB0002157"
"HMDB0001898","C05790","Mesobilirubinogen",1,"Microbiota","HMDB: HMDB0001898; KEGG: C05790, C05791"
"HMDB0002923","C00252","Isomaltose",1,"Co-Metabolism","KEGG: C00252"
"HMDB0061030","-","Omega-hydroxyfinasteride",1,"Drug related","HMDB: HMDB0061030"
"HMDB0011668","C15658","6-(alpha-D-Glucosaminyl)-1D-myo-inositol",1,"Microbiota","KEGG: C15658"
"HMDB0062660","C01046","N-Methylglutamicacid",1,"Microbiota","KEGG: C01046"
"HMDB0000367","-","3a,6b,7b,12a-Tetrahydroxy-5b-cholanoicacid",1,"Food related","HMDB: HMDB0000367"
"HMDB0012240","-","Isopentenyladenine-9-N-glucoside",1,"Unknown",""
NA,"-","3-[3,4-dihydroxy-2-(4-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)phenylpropanoicacid",1,"Unknown",""
NA,"-","(1S)-1-hydroxy-23-oxo-24,25,26,27-tetranorcalciol",1,"Unknown",""
"HMDB0040901","-","13-Hydroxy-9-methoxy-10-oxo-11-octadecenoicacid",1,"Food related","HMDB: HMDB0040901"
"HMDB0006115","C00261","Benzaldehyde",1,"Microbiota","KEGG: C00261"
NA,"-","SerThr",1,"Unknown",""
NA,"-","ThrPheLeuThrGln",1,"Unknown",""
NA,"-","ProHis",1,"Unknown",""
"HMDB0000601","-","Coprocholicacid",1,"Food related","HMDB: HMDB0000601"
NA,"-","ValGlu",1,"Unknown",""
"HMDB0036707","-","Steviobioside",1,"Food related","HMDB: HMDB0036707"
NA,"-","2-Propylisonicotinicacid",1,"Unknown",""
"HMDB0011718","C00633","4-Hydroxybenzaldehyde",1,"Microbiota","KEGG: C00633"
"HMDB0001388","C06427","Alpha-Linolenicacid",1,"Co-Metabolism","KEGG: C06427"
NA,"-","3alpha,7alpha-Dihydroxycoprostanicacid",1,"Unknown",""
NA,"-","AsnProLeu",1,"Unknown",""
NA,"C11074","THTC",1,"Unknown",""
NA,"C01772;C05838","2-Hydroxycinnamicacid",1,"Unknown",""
"HMDB0036865","-","Lepidiumterpenylester",1,"Food related","HMDB: HMDB0036865"
NA,"-","GlyPhe",1,"Unknown",""
"HMDB0000557","-","L-Alloisoleucine",1,"Unknown",""
NA,"-","HYMECROMONEMETHYLETHER",1,"Unknown",""
NA,"-","ProArg",1,"Unknown",""
"HMDB0038731","-","4,7-Megastigmadien-9-ol",1,"Food related","HMDB: HMDB0038731"
NA,"-","Trans-EKODE-(E)-Ib",1,"Unknown",""
"HMDB0060958","-","7-hydroxyolanzapine",1,"Drug related","HMDB: HMDB0060958"
"HMDB0038352","-","LucidenicacidN",1,"Food related","HMDB: HMDB0038352"
NA,"-","AlaLeuVal",1,"Unknown",""
NA,"-","10Z-Nonadecenoicacid",1,"Unknown",""
"HMDB0013253","C05135","Nomega-Acetylhistamine",1,"Drug related","DrugBank: DB04622"
NA,"-","6-{[2-(2,4-dihydroxyphenyl)-7-hydroxy-3-(8-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)-6-(3-methylbut-2-en-1-yl)-4-oxo-4H-chromen-5-yloxy}-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",""
NA,"-","Varanicacid",1,"Unknown",""
"HMDB0060122","-","4-Oxo-9-cis-retinoyl-beta-glucuronide",1,"Food related","HMDB: HMDB0060122"
NA,"-","AsnThr",1,"Unknown",""
NA,"-","HisVal",1,"Unknown",""
"HMDB0062534","-","TetraHCA",1,"Food related","HMDB: HMDB0062534"
"HMDB0060127","-","25-HydroxyvitaminD3-26,23-lactol",1,"Food related","HMDB: HMDB0060127"
NA,"-","GlyLys",1,"Unknown",""
"HMDB0030915","-","AlliospirosideD",1,"Food related","HMDB: HMDB0030915"
NA,"-","Alanyl-Hydroxyproline",1,"Unknown",""
"HMDB0011556","-","MG(0:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",1,"Food related","HMDB: HMDB0011556"
NA,"-","Trihydroxycoprostanoicacid",1,"Unknown",""
NA,"-","ArgValLeu",1,"Unknown",""
"HMDB0006236","C00601","Phenylacetaldehyde",1,"Co-Metabolism","KEGG: C00601"
NA,"-","PheProIle",1,"Unknown",""
"HMDB0005998","C14748","20-Hydroxyeicosatetraenoicacid",1,"Host","KEGG: C14748"
"HMDB0000672","C19615","Hexadecanedioicacid",1,"Food related","HMDB: HMDB0000672"
NA,"-","ThrValVal",1,"Unknown",""
NA,"-","1alpha,18-dihydroxyvitaminD3",1,"Unknown",""
NA,"-","ValGluAla",1,"Unknown",""
NA,"-","GluGlyAsnTrp",1,"Unknown",""
NA,"-","ValLys",1,"Unknown",""
NA,"C03033","Lithocholate3-O-glucuronide",1,"Co-Metabolism","KEGG: C03033"
NA,"C01162","3-(Pyrazol-1-yl)-L-alanine",1,"Unknown",""
"HMDB0000313","C05300","16b-Hydroxyestrone",1,"Co-Metabolism","KEGG: C05300"
"HMDB0032301","-","Trans-2-trans-4-Heptadien-1-ol",1,"Food related","HMDB: HMDB0032301"
NA,"-","LeuThrSerLysTyr",1,"Unknown",""
NA,"-","2,3-dinorProstaglandinE1",1,"Unknown",""
"HMDB0013317","-","Tridecanoylglycine",1,"Unknown",""
NA,"-","GlyValVal",1,"Unknown",""
NA,"-","PheAspIle",1,"Unknown",""
NA,"-","GluAsnLeu",1,"Unknown",""
"HMDB0000168","C00152","L-Asparagine",1,"Co-Metabolism","KEGG: C00152"
"HMDB0000641","C00064","L-Glutamine",1,"Co-Metabolism","KEGG: C00064"
"HMDB0244573","-","16alpha-hydroxyprednisolone",1,"Unknown",""
NA,"-","GlyIleLys",1,"Unknown",""
NA,"-","HisProVal",1,"Unknown",""
"HMDB0003464","C01035","4-Guanidinobutanoicacid",1,"Co-Metabolism","KEGG: C01035"
NA,"-","IleSerThrGlu",1,"Unknown",""
NA,"-","IleThrIle",1,"Unknown",""
"HMDB0041430","C20025","Gymnodimine",1,"Food related","HMDB: HMDB0041430"
NA,"-","IleGlyLys",1,"Unknown",""
NA,"-","GlyMet",1,"Unknown",""
NA,"-","ThrAspIleThr",1,"Unknown",""
NA,"-","(+/-)-Furilazole",1,"Unknown",""
"HMDB0039171","-","9alpha-(3-Methylbutanoyloxy)-4S-hydroxy-10(14)-oplopen-3-one",1,"Food related","HMDB: HMDB0039171"
"HMDB0039396","-","TuberosideJ",1,"Food related","HMDB: HMDB0039396"
"HMDB0032732","-","Cis-Solamin",1,"Food related","HMDB: HMDB0032732"
"HMDB0035165","-","CinncassiolA19-glucoside",1,"Food related","HMDB: HMDB0035165"
NA,"-","ValIleThrAsn",1,"Unknown",""
"HMDB0033243","-","CorchorifattyacidD",1,"Food related","HMDB: HMDB0033243"
"HMDB0030394","-","Simmondsin",1,"Food related","HMDB: HMDB0030394"
NA,"-","SerLeuIle",1,"Unknown",""
"HMDB0060583","C21515","Trandolaprilat",1,"Drug related","HMDB: HMDB0060583"
"HMDB0030409","-","4-Amino-2-methylenebutanoicacid",1,"Food related","HMDB: HMDB0030409"
"HMDB0251473","-","DIPROTINA",1,"Unknown",""
"HMDB0039603","-","3,4-Dimethyl-5-pentyl-2-furanheptanoicacid",1,"Food related","HMDB: HMDB0039603"
NA,"-","GlyArg",1,"Unknown",""
"HMDB0035922","C08771","NigakihemiacetalB",1,"Food related","HMDB: HMDB0035922"
NA,"-","ThrArg",1,"Unknown",""
"HMDB0000517","C00062","L-Arginine",1,"Co-Metabolism","KEGG: C00062"
NA,"-","GlyLeuArg",1,"Unknown",""
"HMDB0028923","-","Leucyl-Arginine",1,"Unknown",""
"HMDB0033503","-","Smallbacteriocin",1,"Food related","HMDB: HMDB0033503"
"HMDB0028876","-","Hydroxyprolyl-Valine",1,"Unknown",""
NA,"-","ValValLeu",1,"Unknown",""
NA,"-","GlnArg",1,"Unknown",""
NA,"-","AsnIleArg",1,"Unknown",""
NA,"-","3-N-Acetylfusarochromanone",1,"Unknown",""
NA,"-","LeuGluLeu",1,"Unknown",""
NA,"-","GluIleLeu",1,"Unknown",""
"HMDB0030529","-","JanthitremE",1,"Food related","HMDB: HMDB0030529"
"HMDB0011492","-","LysoPE(0:0/22:2(13Z,16Z))",1,"Food related","HMDB: HMDB0011492"
"HMDB0041517","-","Beta-D-Glucopyranosylanthranilate",1,"Food related","HMDB: HMDB0041517"
"HMDB0011470","-","LysoPE(0:0/14:0)",1,"Food related","HMDB: HMDB0011470"
NA,"-","IleArg",1,"Unknown",""
NA,"-","LysoPA(P-16:0e/0:0)",1,"Unknown",""
NA,"-","IleGluLeu",1,"Unknown",""
NA,"-","AspThrGlnSer",1,"Unknown",""
"HMDB0037235","-","Quassinol",1,"Food related","HMDB: HMDB0037235"
"HMDB0004157","C05789","L-Urobilinogen",1,"Unknown",""
"HMDB0029062","-","Threoninyl-Hydroxyproline",1,"Unknown",""
"HMDB0029128","-","Valyl-Hydroxyproline",1,"Unknown",""
"HMDB0039331","C13837","DehydrosoyasaponinI",1,"Food related","HMDB: HMDB0039331"
NA,"-","ValThrIleAsp",1,"Unknown",""
"HMDB0011482","-","LysoPE(0:0/20:1(11Z))",1,"Food related","HMDB: HMDB0011482"
"HMDB0030328","C10359","Petasitenine",1,"Food related","HMDB: HMDB0030328"
"HMDB0003252","C05963","ThromboxaneB2",1,"Food related","HMDB: HMDB0003252"
NA,"-","AsnSerLeuArg",1,"Unknown",""
NA,"-","IleGluLeuLys",1,"Unknown",""
