	metab_id	Apc_F_1	Apc_F_2	Apc_F_3	Apc_F_4	Apc_F_5	Apc_F_6	Apc_F_7	Apc_F_8	Apc_F_9	Apc_M_1	Apc_M_2	Apc_M_3	Apc_M_4	Apc_M_5	Apc_M_6	Apc_M_7	Apc_M_8	WT_F_1	WT_F_10	WT_F_11	WT_F_2	WT_F_3	WT_F_4	WT_F_5	WT_F_6	WT_F_7	WT_F_8	WT_F_9	WT_M_1	WT_M_10	WT_M_2	WT_M_3	WT_M_4	WT_M_5	WT_M_6	WT_M_7	WT_M_8	WT_M_9	FC	FDR	.	log2FC	Metabolite	ID	KEGG.Compound.ID	Library.ID	group
27	metab_1831	6.02324739673086	5.94745336842651	6.04015416663302	6.31043682936608	5.83411115077721	5.85408152700194	5.80430667161688	5.7576250757452	6.32484131416604	5.75162801746648	5.70569306684586	5.84066512265444	5.6697322525093	5.42934777662987	5.71169092922736	5.67074997281013	5.58682724558522	5.96865465021318	5.89830534673482	6.04103302063716	5.78352840527207	5.86512720668303	5.82294113159651	5.71554960014664	5.66775363054141	5.74956685440771	5.92818025838747	5.81498911762766	5.17717218599268	5.46036534392841	5.21304973835237	5.22796489599377	5.30101598683524	5.28466450586021	5.61891733906927	5.39857725176011	5.54872231830783	5.50850305067489	1.05362294442603	0.0201998285363682	1.65150135763627	0.0753586681797474	10Z-Nonadecenoic acid	pos_1891	-	HMDB0013622;LMFA01030362	Apc
4	metab_11609	5.53208699233347	5.69751480069472	5.63377625432732	5.65634352249754	5.50547648650527	5.41652998662473	5.51909608571632	5.42184903319511	5.59244877323958	5.50220827719309	5.61354703547293	5.48975344794068	5.39954160089522	5.5793847334756	5.27152491800111	5.07330422600943	5.32018940232692	5.16798724917235	5.22631139182898	5.25488039778456	4.64022919720593	5.15142704660414	5.36851673584579	4.38759425438497	5.07295223874927	5.032459812015	5.18526812775126	5.33954182368849	5.3514866074399	5.22621517876945	5.40494373625463	5.30562547101224	5.32508254985969	5.13170923859366	5.32010880408192	5.3968632588758	5.18195868080252	5.43930710295935	1.05066506474082	0.0370116098329074	1.49468200010019	0.0713028344295095	Dermatan L-iduronate	pos_4853	C01490	HMDB0000632;HMDB0060470	Apc
33	metab_4450	5.66811202735013	5.65445363416594	5.60220554224667	5.68984364494556	5.55178665494769	5.49025521744328	5.80446564179229	5.86620504400713	5.84136739496711	5.94655136729911	5.95006852213367	5.62355572546935	5.96055871980818	5.85329259449549	6.04294976686312	6.05959000497046	6.02306859002865	5.96449477406702	5.9827961053148	5.9238281268205	5.7591587115718	5.57122004092928	5.50917707303809	5.47816045683519	5.78781895231933	5.86335919945744	5.44591169507093	5.84171605163223	5.67383228070076	5.22025900852939	5.8020945703606	5.64966088577075	6.01123006397151	5.62953567128066	5.12138313960225	5.20129968448186	5.19756856418621	5.26377246727347	1.04821036350233	0.0320505991732963	1.17018331172817	0.0679282778735391	(R)-Shinanolone	pos_4720	-	HMDB0030580	Apc
14	metab_15573	5.62146654482259	5.60896269585896	5.57642324558705	5.83602866133531	5.63185688169833	5.38500969280422	5.29307576257653	5.51932595751147	5.65911692809996	5.60665926577934	5.56265299818159	5.8145536263299	5.52244810425537	5.37383328122633	5.42212509474165	5.47738684194372	5.34681707985705	5.23903428647399	5.65894335754688	5.35398200237098	5.13951940471264	5.46458995549157	5.25400405095232	4.98972580949685	5.37471585681528	5.20094564109457	5.36827134472871	5.26645830291063	5.18509086720266	5.31776592608831	5.35601246793083	5.24548127131899	5.28310888486733	5.14401926441113	5.37282162761972	5.26617336697699	5.43998092619952	5.39946646496404	1.04618350707468	0.00134402735245241	1.3647036740878	0.0651359314379312	Lucidenic acid E2	neg_4119	-	HMDB0036434	Apc
40	metab_7457	5.63496061385036	5.63414988792772	5.58115644459113	5.79397444454402	5.60736370389237	5.50464242089103	5.45236162673527	5.62962666223467	5.92915876489043	5.70998556831499	5.65774254157587	5.83115141823308	5.65789298637416	5.59956235415968	5.81771973901653	5.64564776657542	5.56768685099268	5.79493172912284	5.87920063194745	5.51538078912191	5.47390571154559	5.77806776578308	5.50869242645219	5.30494424491506	5.75890353640172	5.61313248465819	5.68542369504373	5.54069980479939	5.36794206018018	5.24951126249693	5.2697713965139	5.2380137028791	5.2404209872809	5.29507394141979	5.28295402678194	5.52869663693807	5.46221103387275	5.65582120824776	1.03914012709006	0.0199224560161367	1.17444774051951	0.0553902134593731	Dehydroepiandrosterone	pos_8220	C01227	LMST02020021;53-43-0;HMDB0000077;HMDB0005962	Apc
38	metab_7417	5.84948259224772	5.8372054930054	5.89143662223827	6.1005020504311	5.78397617793805	5.77802820165895	5.7173102190922	5.68379765463651	6.02834588069906	5.6852981939469	5.63778991569712	5.74129092335937	5.62116731276369	5.41093338614437	5.59714451909164	5.67025485257868	5.38001847520907	5.84655107093534	5.85187678318033	5.87464224021233	5.7223267634086	5.82042764761948	5.74180949216413	5.70152683119057	5.68799165402182	5.75126414753248	5.78022884047201	5.73739700929866	5.19236769541329	5.42848909459016	5.33569926528473	5.31901307723756	5.39890738820396	5.31862123714865	5.50547436994006	5.43437372140352	5.49191600007346	5.45978917724789	1.03667045023391	0.0426946600196949	1.66204866367776	0.0519573450917036	(1S)-1-hydroxy-23-oxo-24,25,26,27-tetranorcalciol	pos_8165	-	LMST03020687	Apc
15	metab_15603	7.42482883381653	7.34098421395813	7.40737209051805	7.54246737501176	7.25303988107287	7.13824351000046	7.26607752373333	7.29056636702423	7.59324895009398	7.43616784408605	7.4230761857704	7.63394358041998	7.35653360312748	7.28122701029613	7.57013005827372	7.4817976880922	7.53964999321717	7.40291028501193	7.46849527890374	7.21571435114202	7.17352175403253	7.42228280683793	7.29618750136775	7.12477804358825	7.30231663328903	7.19479384212521	7.59481896181104	7.3737452744707	6.8780573981082	7.09030551353161	6.90474749978635	6.94590765931828	6.91779674523621	6.93221583526588	7.27148263204345	7.18733163869613	7.3363721205798	7.27525857024946	1.03124784647549	0.0201998285363682	1.22210231807579	0.0443911066240307	MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)	neg_4156	-	HMDB0011578	Apc
32	metab_4049	6.04000886821151	6.16040852739058	6.16235013557561	6.17999391845488	6.25734949593439	6.06837524015233	6.19852759954466	6.11892926181524	6.22086582806534	6.09494933467696	6.23993817266481	6.28354203991488	6.20111940538483	6.2432252034464	6.17856500702906	6.08111276579164	5.99695593585072	6.02061917109775	6.02129814044029	6.00997747088309	5.85701505204105	6.11668670464512	6.2839286263682	5.54391568243609	5.86153669557594	5.61655743731296	5.99652023136088	6.19842939382542	6.03692529710729	5.8843665583659	6.14880255118557	6.0207385028086	5.978621903825	5.79805496081089	6.04593213995975	6.13585951302127	5.81671337017347	6.09852588595992	1.02849213176679	0.0492423597764465	1.2030611500751	0.0405307569115131	3-(3,7-dimethylocta-2,6-dien-1-yl)-5,7-dihydroxy-6-(3-methylbut-2-en-1-yl)-2-(2,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one	pos_4285	-	-	Apc
12	metab_15526	5.21622664888402	5.18339910360306	5.19093143315255	5.19794765581812	5.35709306137069	5.43549388857782	5.3698191822621	5.46877073983907	5.30618474968785	5.41204100650326	5.38949460708745	5.50947666408685	5.40915568032083	5.42831770013103	5.28396702838593	5.44773225112607	5.35084149699799	5.23364613698368	5.35911714766041	5.37785288440571	5.4121079813616	5.38017410127168	5.28515864176381	5.30394368286941	5.37126475138567	5.43220684401254	5.35425324524912	5.3294875518115	5.51441795033246	5.59615560625278	5.64181071710738	5.59305531550904	5.66966368218606	5.39132803447181	5.63996312980624	5.58840849728877	5.50283377756331	5.55330110535372	0.976412465171757	0.0363160108642982	1.31912499715803	-0.0344373817770155	(8alpha,10beta,11beta)-3-Hydroxy-4,15-dinor-1(5)-xanthen-12,8-olide	neg_4070	-	HMDB0037244	WT
35	metab_4952	4.92580211638352	4.95684560819217	4.92573657100515	5.0729413641851	4.94699657395027	4.99320912217846	5.03101173711678	5.2057870387994	5.11201995806114	5.20730518273716	4.99525025327516	5.31675823501513	5.24255651312852	5.25808888789845	5.27510338196638	5.37835553992636	5.19610075728503	5.13582389229158	5.29088374460099	5.17161227689839	5.19917444969593	5.33866550304774	5.18071835049604	5.07047937529899	5.2279512266496	5.22999974078231	5.23071392065173	5.04523192413417	5.49583923477776	5.39626186792824	5.51759648862126	5.48317601126896	5.3843987589162	5.13825570727955	5.35323701591922	5.34603473041793	5.43319709348149	5.47238403320695	0.966832367719071	0.0219373456686706	1.75113363054962	-0.0486623222740198	Ent-7-Oxo-8(14),15-pimaradien-19-oic acid	pos_5266	-	HMDB0036747	WT
8	metab_12583	5.53650063097465	5.50689102342669	5.49331697116057	5.5287840727389	5.67894854514463	5.79435851138325	5.65287627091344	5.6908935670434	5.56254580152601	5.67878801968721	5.66486977327891	5.84790965295071	5.68060837571105	5.67469497389695	5.55107802028629	5.72129527633219	5.56354040370067	5.57500328860487	5.67057911615938	5.68329987234074	5.761237515561	5.69604778918322	5.59911325441028	5.6217999185693	5.66355416470738	5.72636114781772	5.68625252016731	5.65863546153345	6.26232901904844	6.22469309687746	6.07740448837248	6.13508233383316	6.24064314539251	5.70815108984451	6.01493069578087	6.00718930726538	5.8128897687808	5.98987207205066	0.958397946207739	0.0201998285363682	1.42344675548382	-0.0613032783707264	4,5-Dihydrovomifoliol	neg_977	-	HMDB0040615	WT
18	metab_17730	5.574170904639	5.56883649807017	5.48620458126509	5.64000332183439	5.79568879131564	5.87391939325391	5.77798700989093	5.67531080011703	5.65443705275538	5.63791259603863	5.64403634973659	5.71644733728756	5.5701011362705	5.53043576619115	5.3412053877256	5.64083648021175	5.53387406285826	5.57486318554698	5.62526823577189	5.82864002291912	5.8062168266812	5.76702188448564	5.69144438854293	5.71285612480024	5.64582553689826	5.82699711837184	5.72884457788932	5.74970383284641	6.1527821633733	6.21605511966828	6.07699644571009	6.12430747006501	6.19840163125474	5.6761023821582	5.99069473209531	5.91776920778883	5.80556971473506	5.89185560683655	0.956988982608717	0.00579841678184015	1.37266733042382	-0.0634257791909643	Monomenthyl succinate	neg_6717	-	HMDB0036143	WT
36	metab_5283	5.3673895469521	5.2022340996319	5.27018924660099	5.10154626628082	5.82135921667334	5.20326406535397	5.54138931439782	5.54484017516519	5.23948251730099	5.67887950391275	5.59142948404645	5.07786847426711	5.36801378603197	5.89967510688952	5.16091280413132	5.29168454406165	5.3803875901589	5.59596186876004	5.64932105230616	5.79391096641337	5.84242636460371	5.95687873299287	5.8416265749598	5.97452844107364	5.61047418170043	5.57266514278351	5.42896558832564	5.84476785825657	5.86662408779781	5.83882120283586	5.25852099354737	5.39602629050145	5.81061967957125	5.55488057128144	5.80332871132416	5.60467643767859	5.45387459962751	5.69899784106352	0.956457658314966	0.0431734242298522	1.29058811380897	-0.0642269919627302	Oleoyl Ethanolamide	pos_5688	-	HMDB0002088	WT
45	metab_8324	4.15954347486804	4.00897918850641	4.0037545520442	4.14694850477391	4.11628462652366	3.9706584101939	4.30058373198529	4.22849135961448	4.13830816877991	4.19004716687018	4.09946240272665	4.01498390355222	4.44099595928269	4.320374006139	4.36371364055921	4.33415488947024	4.17511762222466	4.47746031327234	4.5403660319189	4.48056137024611	4.28288183072721	4.36872565543851	4.65859790241121	4.30812724992026	4.64004293424851	4.41024033210012	4.80096322641845	4.39525829043735	4.03172878934888	4.41753680252926	4.23759856320945	4.12982902341389	4.52347124432394	4.29985543429471	4.62397370468484	4.58955204865318	4.69395323531102	4.64242788747519	0.950095989839946	0.0333926285048428	1.61401053370489	-0.0738548161067372	Metaproterenol	pos_9181	C07144	HMDB0014954	WT
21	metab_17909	5.12102718184794	5.0860177790789	5.05328921547764	5.13683459457226	4.99568886864939	5.11278114315037	5.39004447563833	5.41921179250566	5.04954678425616	5.46352263234224	5.13838746846783	5.31082940993308	5.67134657379249	5.58983074357185	5.77962362361956	5.7454545489498	5.53733694965922	5.58424237132418	5.53076490735074	5.40871385144779	5.42696356648327	5.57140276221367	5.39493563501494	5.2236764125771	5.62356545188436	5.51119772453977	5.70080449547994	5.52797693359947	5.5944191851553	5.63836958061213	5.83492904667231	5.85551641081079	5.85328930829438	5.46160320705183	5.97502208742792	5.8455808875334	5.76250122143034	5.84951193344895	0.948458876706196	0.0201998285363682	1.51404710339425	-0.0763428722871935	1-(4-methoxyphenyl)-4-methylpent-1-en-3-ol	neg_6919	-	-	WT
13	metab_15566	4.8108415785162	4.71100474858479	4.71061266083737	4.78106866404542	5.20565103552895	5.1741597436323	5.23886409788606	5.19742540923715	4.98062202023218	4.91793161964463	5.03532240701776	4.08643446963918	5.28645847667912	5.01919814082661	5.10402454132836	5.11913748757241	5.04403643667597	5.20485427259042	5.03010126902949	5.43450161763669	5.31498198272944	5.14481323454304	5.18461427080803	5.22148952101784	5.32238902371707	5.20667608099797	5.17240046382096	5.39505015760033	5.30587405534836	5.40740226111615	5.45016910139642	5.4020994480079	5.52272646601315	5.0361909315328	5.4793001803374	5.28577018604872	5.1297623426615	5.14437789241926	0.946985499983043	0.0219373456686706	1.19004134381526	-0.078585759228242	1-Cyclopropyl-4-methyl-1,3-cyclohexanediol	neg_4112	-	HMDB0036992	WT
30	metab_3506	5.14038160552105	5.07543187902399	5.18877092132714	5.14725930447962	5.18473495014432	6.09123601843275	5.47694758316764	4.95890163008016	5.44974137181745	5.00340778721973	5.2380872612748	4.33985136561859	4.53505736607749	5.16929189510811	4.95293928207618	4.71102332113915	5.49279149926664	5.53079301259284	5.01423607372565	5.37672221513597	5.32838106042088	5.02078284001654	5.2080118512689	5.72801242941313	5.60460957860065	5.4434644571881	5.00311693253192	5.32663831628165	5.81559190557035	5.65212255348103	5.64813508434622	5.89803566358134	5.48154623790843	5.91196121344249	5.49327548363916	5.55498476001094	5.44321880384357	5.43069085731443	0.937139386425334	0.0458044363261136	1.02709860552279	-0.0936644502590044	Ser Val	pos_3676	-	-	WT
23	metab_17947	4.72284493627549	4.69898193593528	4.76730217982712	4.79460070976324	4.99203351763421	5.1139558694923	4.88888368503988	5.07055873464466	4.87334360102647	5.1562368798785	5.04108313761754	4.85774134789959	5.12355786079338	5.09111867281429	4.92572449377344	5.07126170423546	4.92649643386505	4.85371518030147	4.77086273676895	4.97563660043448	5.08960510921583	4.9349372556046	4.87197304305986	4.96221779014782	5.04510235746337	4.98339733577925	4.83613253597002	4.91206931499529	5.76855232940569	5.69205147260918	5.64589351551136	5.66128748001272	5.81493105336097	5.12594695755992	5.49564493445177	5.49213603709061	5.18098448023674	5.43670779367566	0.935700345470341	0.02284367779924	1.42001604020121	-0.0958815087959655	2,2'-(3-methylcyclohexane-1,1-diyl)diacetic acid	neg_6959	-	-	WT
2	metab_10393	4.96105627995914	5.21015313653922	5.06213149103629	5.15296731151118	4.4400231632612	5.26973480089558	5.10183179964766	4.66270902001309	4.99319706222525	4.68898523260817	5.19144701257092	4.57881888986733	4.54180984134582	4.61614907002033	5.09496255304723	4.56746998591108	5.14159261617532	5.99343628380737	4.99568496405777	5.17686647299167	5.36313387590907	4.9713600039092	4.986696384592	5.70609275662798	5.86130040598111	5.40444346884069	5.07283652508336	5.54562646498474	5.3564839614613	4.87103671100077	5.31086851577948	5.66853382023241	5.05048530840652	6.05343008280003	4.91318765099967	5.8648154481863	5.44148748125625	5.41403559503643	0.924021834164899	0.0320505991732963	1.24230035517304	-0.114001152694888	His Leu	pos_11442	-	-	WT
31	metab_3925	4.37207287870302	4.61815149966133	4.56390356174215	4.63892973241471	4.19308812593332	4.89764007687404	4.65656876297826	4.30689211799534	4.46853336957573	4.52258785002161	4.87283522235739	4.46402444742337	4.28191439622149	3.75840450483147	4.19780659650746	3.44645907709756	4.61051859810669	5.33722118806028	5.06777454282135	4.85323175899178	4.87677086123897	4.81151669916847	4.73098725592997	5.21346957462349	5.16423116897938	4.93893543857943	4.51338882982674	5.16402155831479	4.76785329376005	4.48176610266226	4.77049180387687	5.02539741363912	4.65503418292173	5.4096441375895	4.80022170188333	4.97362938574126	5.01359830208288	4.81708078356008	0.920430136234802	0.0356239751969241	1.3814609428353	-0.119619874597051	Gln Val Leu	pos_4146	-	-	WT
9	metab_12612	4.67747847833944	4.25310652013585	4.37848189255982	4.40678512825994	5.20871283595723	5.44602518494535	4.77120737403814	4.82091352577819	4.70463745884369	4.83364181018631	4.22359903446131	4.36566161079324	4.37830368442417	4.39744045940593	4.24086748458098	4.59306288960685	4.62584176711269	4.46302406113365	4.30924839375279	4.8452858784861	5.24959869166667	4.43543430071556	4.67032559131648	5.153168714009	4.66340706105524	5.22308269931558	4.52309159633505	4.57338186919372	5.30404225623322	5.5927208682978	5.09591808531708	5.35997561008769	5.59742135706926	5.02744923695734	5.25786654077908	4.85849649464455	4.81904840593369	4.70379862637039	0.918328933520441	0.024714791189053	1.0585639645906	-0.122917094015591	2-Carboxy-4-dodecanolide	neg_1007	-	HMDB0030987	WT
10	metab_14927	4.06652545382339	4.06775521954649	4.29668778852473	4.2246464735821	4.144187871525	4.28164847243775	4.13345246324801	4.29453302141097	4.15474972011027	4.3051771281132	4.3231495214299	4.87076487382107	4.10110806038847	4.32338154789629	4.16969383033382	4.25899075992123	3.6031831441214	4.22792572918947	4.35030617815603	4.32012116198261	4.41942066440635	4.40809402000061	4.12169962236516	4.15046659037587	4.37235421432575	4.19432894963994	4.39838463666488	4.20425098085645	5.00019296633422	5.03091846282195	4.96525870253732	5.08910738405081	4.95806792107895	4.45246716423977	4.68123143744261	4.93323677512512	4.57659209468023	4.92422020232322	0.917783794164571	0.0201998285363682	1.39048468501879	-0.123773762406979	3-Hydroxy-5Z-octenyl acetate	neg_3434	-	HMDB0030369	WT
37	metab_5511	4.93267012061156	4.59452051862999	4.88074638705541	4.78663428962109	5.23363454577613	4.97505733878356	5.08240936066398	4.65119568549002	4.85697084971498	5.0553049512189	4.34647849155854	4.51603753782739	4.70551184195298	4.82560563968824	4.63073711335238	4.68244266769365	4.41384005998994	5.28151630629399	5.3458200109442	5.47241850356658	5.56974155279271	5.72379908345137	5.41347456588778	5.66727035499422	5.4701979073136	5.3696279079558	5.12704223893768	5.43959926473056	5.27025815107095	5.36511362227494	4.84593995007352	5.04585867496052	5.40077774277469	5.30247926736021	5.43904215433345	5.27048631223299	5.1170584222896	5.32719865857565	0.910337733092087	0.00126376148513784	1.74187798000545	-0.135526213903059	Stearoylethanolamide	pos_5980	-	HMDB0013078	WT
19	metab_17767	4.45619073634072	4.3607176399206	4.3283105869736	4.487262939136	4.44512238430964	4.76142020136657	4.58279739651205	4.21967673219223	4.46790799874941	3.64409108674403	4.00974886030413	4.08007521229145	3.98156602358367	4.23554426085477	3.64409108674403	4.55901826938273	4.25099765090909	4.41065861640494	4.23709149176194	4.58266849303135	4.44859498447635	4.49838732708152	4.54606209025369	4.42764883133929	4.34238641528257	4.71043126452339	4.5963006396384	4.36908051579598	5.50169066813736	5.35229166006572	4.70014863041751	5.17603163676841	5.38782595718661	4.12691779074875	4.86805049324385	4.66980118603148	4.52417431346339	4.66485684951128	0.90884280706625	0.0219373456686706	1.23819302434588	-0.137897306603128	4,7-Megastigmadien-9-ol	neg_6759	-	HMDB0038731	WT
