	metab_id	Metabolite	group	Apc_F_1	Apc_F_2	Apc_F_3	Apc_F_4	Apc_F_5	Apc_F_6	Apc_F_7	Apc_F_8	Apc_F_9	Apc_M_1	Apc_M_2	Apc_M_3	Apc_M_4	Apc_M_5	Apc_M_6	Apc_M_7	Apc_M_8	WT_F_1	WT_F_10	WT_F_11	WT_F_2	WT_F_3	WT_F_4	WT_F_5	WT_F_6	WT_F_7	WT_F_8	WT_F_9	WT_M_1	WT_M_10	WT_M_2	WT_M_3	WT_M_4	WT_M_5	WT_M_6	WT_M_7	WT_M_8	WT_M_9
62	metab_17878	N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine	Apc_M	0.894924122212897	2.12424813179076	1.1902407421955	3.50585030510132	3.52599770901678	2.67370255723869	1.90933873329442	4.33740448083597	3.10399183794361	5.00830946737107	4.6231202184161	4.66976675320663	4.87871142476548	5.56479330813703	5.51471173152812	5.45969682801272	5.64335620592099	4.43236496839014	4.53561164211982	1.34561461682577	1.34561461682577	3.63775422185696	4.39256605952018	4.02426087523672	3.29166683286839	2.7046891410321	1.34561461682577	4.03402652677481	0.662682470196088	4.64892024213281	3.60924941551462	0.662682470196088	4.12292869610958	4.26240163111281	4.84655583483037	5.09444663428369	5.00932250571398	5.02113853207022
72	metab_18987	Orotidine	Apc_M	4.33880722776421	3.92773645733757	4.42888634953188	4.5935734354399	4.5641892335053	3.9730992517591	4.30118785517694	4.64773192027297	4.53604497142445	4.97485312382893	5.17962004022963	5.16261593223779	4.74660390688165	4.88011256998641	4.9998910391058	5.20308904548344	5.0586927334259	4.77045695718837	5.44323140134479	5.04388402919862	4.70111466827902	5.1118268798509	4.39850410983979	4.45530538752034	4.90865562573474	4.67643631114427	5.37905849675586	4.93251295084471	4.28036001687496	4.09472782442643	4.92535621064826	4.60716443413392	3.48788916757321	4.9568211454708	4.62949127219116	4.86573738915121	5.12540183682283	4.38743888294641
81	metab_1988	Glycerophosphocholine	Apc_M	3.51431568811636	4.85182377806949	4.14165549724672	4.22958019786317	3.51431568811636	3.51431568811636	4.68060089374123	4.96612718074497	4.01107188674739	4.64986024668138	5.32850323071973	5.2669591417724	5.62605977402455	5.35165112214538	4.5063691976051	5.62473077687259	5.49206424011543	3.03548189461238	4.70026862352193	3.03548189461238	3.03548189461238	3.98027508872414	3.96640530171933	3.03548189461238	3.03548189461238	3.41668309440342	4.10720166937652	3.03548189461238	3.79477462583116	4.67260108880874	3.81404315793474	4.11494194300342	3.61609247397078	3.40237691563749	4.20270808956178	4.63726943143875	4.98902242138456	4.81956322844368
83	metab_20232	6-(alpha-D-Glucosaminyl)-1D-myo-inositol	Apc_F	4.51984719612519	4.83676076830503	4.47783020247191	4.58665931462871	4.39931582858376	4.39931582858376	4.74145984774263	4.39931582858376	4.55749593123534	4.43604163452312	4.41020149739248	4.13737514533849	4.5329525471634	4.49493758324138	4.01494093427739	4.26466066587137	4.09172038041515	5.28348616451662	4.7512073532997	4.67898341674669	4.41269004218374	5.38392107098223	4.79751619799494	4.6174971662777	4.61436086781499	4.23500685497803	4.4486702783491	4.97534703323237	4.27621024771996	4.5129675703381	4.75559458282414	4.54204369452199	4.66699140829714	4.28542063857596	4.18653510214234	4.70274397241314	4.97650310979092	4.48998235112124
85	metab_21275	Sulfolithocholylglycine	Apc_M	4.85558484294701	4.86583840708451	4.77526090436888	4.73989263560131	4.73479878791269	4.89128688067876	4.7108902708439	5.26777087238957	5.46386135928932	5.53848183501871	5.08930000184645	5.38389793532683	5.3784635645858	5.48730552494675	5.5993765539118	5.80774461305035	5.82453565115121	4.88955131439316	5.28226361816948	5.10759411218333	4.78898226000664	4.89594090271581	5.031082653564	4.84843370430295	5.14572546502975	4.86919130266527	4.93996587115482	4.61460229982853	5.58302234772544	5.3309734246439	4.41772836822905	4.65714794195222	5.21678347242096	4.95227967611816	5.23161177851119	5.45248829360745	5.25850663202457	5.33979525779976
96	metab_3213	Niacinamide	Apc_M	5.38092934843707	5.29766896435639	5.31390191673839	5.27300880790169	5.38523146122489	5.37131653822974	5.43072246610217	5.35699660157422	5.38924383331676	5.54647829126365	5.4447739334269	5.44112195964848	5.60127391991697	5.73993124079327	5.55491888907665	5.42360484717383	5.61552328276376	5.32173187162063	5.42969062936881	5.7956743874369	5.41801184058591	5.51486711700988	5.39670785279756	5.47125698241259	5.35159773210072	5.34925761206769	5.48352727575444	5.68361729236328	5.84002080569228	5.61523052708517	5.51092920508692	5.47813706873243	5.54713500395748	5.38430029660247	5.37811794923078	5.50321392008586	5.35312434014438	5.50245072554101
100	metab_357	Alpha-Linolenic acid	Apc_F	7.2908699593467	7.05576005934985	6.9050432489728	6.83047639102064	7.39520266581051	7.3892318761382	7.05419520440717	7.21579061331029	7.1279174830357	7.13610415967473	6.72228853382277	6.50826827911816	7.02988717629751	6.9451195236943	6.64217909511483	6.89377308433357	6.88714658038451	6.69319884243786	6.62180009202222	7.26574635742464	7.34154291667732	6.76923452192792	6.97616636668206	7.36568159337282	7.02564509980951	7.36958550804399	6.40010544839395	6.97967180467297	6.62815398010397	7.12596517087767	6.6672566221196	6.63557724829591	6.93860550086397	7.19314386697462	6.91611459697926	6.76939575846192	6.86193148663004	6.66386143788962
127	metab_6357	PC(16:0/0:0)	Apc_M	5.52608330840805	5.47556699532304	5.31408441208345	5.30514029398907	5.66410498036372	5.39427572602546	5.54618881725902	6.06685602532609	5.65646865381953	6.11722451645806	6.13019309759117	6.30316726597004	6.49691319521912	6.28224442437938	6.1934848592702	6.33990469350277	5.94576834560689	5.73590048454736	6.22795925667448	5.83111231414349	5.63088631111174	5.71863069682702	5.86382087306973	5.86299367591411	5.82221965542031	5.67351280014601	5.6403117685893	5.52042348710802	6.0394326600651	6.06497161795311	5.67117558167673	5.67447556680232	5.74811513636129	5.89656563044899	5.74489307957595	6.18004563173679	6.26393470491851	6.40482692687704
135	metab_7271	LysoPC(16:1(9Z))	Apc_M	5.5627603598128	5.76923186603016	5.57368176463773	5.55594519646828	5.76761747706193	5.60416742078374	5.71808424461988	6.07847817797221	5.634335667321	6.19879116331382	6.11429540942834	6.26132055542169	6.41312165588219	6.41253044567652	6.21500692187606	6.37897285376845	6.09808599229639	5.78971017832963	6.12918789611759	5.76983026826884	5.7424614279478	6.01084053623568	6.15405942298937	5.99036979249857	5.66370505435839	5.57222013104	5.53773746366492	5.69129538547206	5.92269057848791	6.24892729056702	5.74281677825782	5.70174538315183	5.71292961282678	5.7739231112918	6.06892268623223	6.29716743057447	6.21597544801528	6.36616196885568
143	metab_7429	Dehydroisoandrosterone 3-glucuronide	Apc_M	6.62767487739551	6.86749245110851	6.60052040007859	6.66149043983446	6.86735560207682	6.42211493129516	5.42753845336691	7.37235908706166	6.4889192730495	7.56601550343592	7.5440501107287	7.61211430095385	7.616172807586	7.5573079754435	7.56722968321223	7.27929832931891	7.23179625928646	7.1349112008424	7.28287324623017	6.87258298674911	7.1961236338649	6.93866408426921	6.08325445701848	7.07672592271907	7.05768930800537	6.36719466006347	6.83541850950294	7.11237093719285	7.1883718474859	6.10593925605416	7.12445716213758	6.49961348269886	6.84619709518681	7.42191155761218	5.79725685054532	7.4011841145229	7.17910739769977	7.33586691427529
148	metab_7472	P-Tolualdehyde	Apc_M	5.07906202569396	5.00042562413914	4.9428250710386	4.91808865237412	5.07419408465576	4.94997969972733	5.08360547507411	4.93170509378205	4.98187912002854	5.02499397370739	5.05636712135873	5.1131254669549	5.09266590178935	5.10902586039389	5.13351114224446	5.15482454538648	5.17648472727227	5.13618079039726	5.03102273916208	5.06090800409989	5.07327987030171	5.04605938460645	5.19522864414878	5.19264291356946	5.00036227404522	5.05536441938481	5.11534425420915	5.03881193979242	4.81956574030846	5.13077082117138	4.91202731133939	4.87415261889154	4.94491474319697	4.97181210763069	5.05555296125914	5.02275426327695	5.15749207089369	5.00124077979645
165	metab_968	N-Methylglutamic acid	Apc_F	5.68688538243171	5.45986720412055	5.59273597402374	5.49825807139577	5.53643173263052	5.88116997577887	5.58885552950889	5.48196705594403	5.64755760205362	5.39186539016558	5.46131637955226	5.29895708740105	5.2362177271303	5.45939202587474	5.2698433842703	5.21207128102668	5.55473091186197	5.44679236376326	5.62581874345553	5.71376030685166	5.60428642215546	5.52590813182621	5.53542594541512	5.69814799955588	5.54155191518759	5.57987813481575	5.38238545467591	5.58136254452778	5.74212230146968	5.70742057397011	5.53799856704666	5.5933325976027	5.51517646454049	5.64057295300526	5.57845060828813	5.69846142325275	5.56016515055344	5.55375711340283
169	metab_9849	Phenylacetaldehyde	Apc_F	5.15290793318575	5.34170378857344	5.89031401630826	5.17001810192232	5.17533713389709	5.44795668738463	5.22023461002841	4.8955834188852	5.21734662236641	4.91483687921315	4.98080623038704	4.7203785685062	4.66920164187282	4.7251808933807	4.88197940506461	4.84761288473335	5.07489809570312	5.01473144127151	4.95782454839069	5.05140582807258	5.11072556619006	5.0446902063353	4.79274012824258	5.11814854830149	5.04541160970366	5.53934526970698	4.88801096168445	5.03210952359344	5.23437514347225	5.05977602184618	5.22676672955336	5.36758101402028	5.18262019216218	5.26376526141237	4.8593254607311	5.02080665249453	5.0412102209388	4.99804991064249
